,reviewText,summary
10,"This is the first book that I read by BEE and it is definitely one of my top five favorite books of all time. It is absolutely nothing like the movie and that's a good thing. I couldn't put it down. It was a very quick and easy read but heavy and dark in atmosphere with each chapter pushing the shock limit. If you love good things and not mainstream fluff, I highly recommend it.",... and it is definitely one of my top five favorite books of all time
11,"This book caught me from the description and had me thinking about it all day as I worked after I started it.  Roselle is a very compelling main character and the author does a great job building her personality so you understand her and her motives.  You route for her as she forges her own destiny, fighting against the system that has used her as propaganda for her whole life.  She fights for what she thinks is right, even when her allies don't agree.  If you pick up this book you won't regret it.",I had a hard time going back to work after starting this on my break.
12,"THIS BOOK REBEL WITHOUT A MINIVAN IS SO FUNNY I JUST LAUGHED AND LAUGHED AND LAUGHED. WHEN I WAS READING IT.TRACY SURE HAS A HILARIOUS WAY TO TELL STORIES ALL OF HER FAMILY STORIES ARE SO FUNNY, I CAN JUST SEE HER AND HER FAMILY DOING ALL OF THOSE FUNNY THINGS. THE STOIRES ABOUT THE DUCKS ARE HILARIOUS. I THINK THAT THEY FINLLY GOT RID OF THEM FOR GOOD WITH THE HELP OF THEIR DOGGIE REILY.",this book is so hilarious . i laughed until i almost cried i  just loved it.
13,"I read another review and was so disappointed that I almost didn't make this purchase.  The review couldn't have been more wrong.
Once I picked up the book, I couldn't put it down and finished it in one evening.  Cursed Moon is a fast-paced, intelligent read.  I particularly enjoyed how the characters continue to develop in real, meaningful ways.  I am disappointed to have to wait for the next installment :)",I read another review and was so disappointed that I almost didn't make this purchase
14,"I really want to buy a cookbook for my small size Instant Pot, but it will never be this one. This cover looks like it could be for the book ""Manspalining Cooking: Let Me Show You How to Chop off Your Fingers."" Nope. No thank you. I hope that the recipes inside are less dangerous than the cover art, but I'm unwilling to risk it personally.

On the positive side, one of my Facebook parenting groups has had a BLAST making fun of this cover art. If this is actually satirical, WELL DONE!",Manspalining Cooking: Let Me Show You How to Chop off Your Fingers
15,"I'll throw my review on the pile of the many positive reviews of this book. This book grabbed me and didn't let go. I seriously had to spend every extra minute I had reading it. I haven't felt that way since, I don't know, the first time I read Lord Of The RIngs?

Everything here struck me just right. I loved the plot, the romance, the suspense. You really feel like you're there.

I haven't read Stephen King for a long time, but I'm going to grab a couple more of his books to see if I can get that feeling I got from this book again, because wow.","Time travel, suspense, romance: all in one book and it works!"
16,"This, I imagine, would be an excellent refferrence or research point. That said, it is a horrible idea to make this purchase for the sole purpose of reading the Dead Sea Scrolls all the ways through. This book is a direct translation, therefor it contains missing segments and is almost unbareable to try and make any sense of.",The Complete Dead Sea Scrolls in English (Penguin Classics) .
17,"This book was difficult to follow.  Especially the character names and to whom they were related, and backtracking on a Kindle is a bit more of a challenge than with a book.... The theme was simple, maybe what might seem like a bad decision by someone in charge, may turn out to be the opposite for all the right reasons in a certain timeframe. But to change and improve the future, truth is necessary.",maybe what might seem like a bad decision by someone in charge
18,"I had a hard time reading this book in my mom's basement, it was kind of dark and I kept getting my grubby Dorito dusted fingers all over the pages. Oh and there were no pictures! How am I suppose to enjoy anything without any pictures to entertain me!? Maybe I should have had my mom just read it to me since I didn't graduate school.......",How am I suppose to enjoy anything without any pictures to entertain me
19,"More patriotic drivel.

I swear the author used the word ""Seal"" at least once per page, just in case I forgot I was reading a book about Seals and whose title has the word ""Seal"" as at the start. I guess that would be good if I suffered from Alzheimers or lacked anything resembling a short-term memory.

The author doesn't even try to help you suspend your disbelief and the worship of country and military is constant and in your face while the characters are flat with each filling the requisite niche for smart guy, quiet guy, joker, etc. etc. etc.","Save your money, there's far better available from numerous authors including self-published stuff."
20,"Fantastic read, Andrew J. Morgan's best work yet. The story is futuristic yet believable and poses interesting premises. Something unusual is unearthed deep below Central Park and suddenly the authorities are very interested. One man holds the key to unraveling the mystery but he will have to go up against seemingly unstoppable forces to do what he thinks is right. But is it?",Bet you can't put this one down! Sci-fi at its best: riveting and thought provoking.
21,"I SUPER loved this book. It was a fun read from the start - great sense of humor and strength in the main female character, and the leading man was definitely to die for. Frustratingly fun twists with the time travel angle, and I appreciated that the author made the whole time travel ability scientific vs. solely ""magical"" to add that possibility feel. I laughed, I cried, and I wanted to go back to Scotland!","Wonderful Read if You Love Highlanders, Science, and Scotland!"
22,"IT WAS A CAPTIVATING STORY. I'M SURPRISED IT'S DESCRIPTION SAID, ""INDIE BOOK"". I'LL DEFINITELY LOOK THE AUTHOR UP TO SEE IF HE FOLLOWS UP WITH MYCAH, THE MAIN CHARACTER WHO STILL HAS HIS SCRUPLES INTACT. I WOULD LIKE TO READ HOW HIS LIFE BEGAN AGAIN.  I HAD A GREAT ATTORNEY WHO GAVE UP CORPORATE LAW FOR PRIVATE PRACTICE FOR THE SAME REASONS LISTED IN THIS BOOK. WELL DONE!","ACTION, SUSPENSE,  & MYSTERY. ACCURATE PORTRAYAL OF THE LIFE IN LAW."
23,"This is a classic.  I have bought many copies in my work as a counselor and consultant.  The heart of it is what Covey calls the ""Maturity Continuum"" in which he puts ""Interdependence"" above ""Independence"".  The first three habits help people move from ""Dependence"" to ""Independence"", and the next three help people to move from ""Independence"" to ""Interdependence"".  Covey justifies putting ""Interdependence"" above ""Independence"" by pointing out that we live in an interdependent world -- we rely on others to provide goods and services.",A Classic that Supports Developing Health in Every Kind of Relationship
24,"This book is the second in a series of two.  I enjoyed this one so much that I have just ordered the first book and it sits in my Kindle now waiting for me to read it.
This book takes place 100 years after ""The Fall"" of civilization as we know it.  It is a murder mystery but for me the fun part was reading about the future civilization and how people lived.  Also the things that they had to give up and those things that they chose to keep.",Recommended highly but consider reading the first in the series before reading this one
25,"This is a really fantastic book that gives a lot of insight into how a master photographer thinks about photography... it's really interesting to hear his thoughts on each picture, why he likes it and what it was about the scene that made him take it.  Especially the description of what ""gesture"" means along with many examples is a great concept for photographers of all skill levels to ponder.

If you are looking for a gift for someone who loves photography, this would be a really good choice.",Great book for photographers or those that enjoy insights into photography
26,"l have read 25 of the books in the series now, and I am still enjoying them so much. The Amazon Quest kept me on my toes trying to figure out the James Parker character, empathizing with the Winslow family, tramping through the Amazon Rain Forest with the characters and once again being blessed by the faith and Christian walk seen in so many of the remarkable characters.  Thank you, Dr. Morris for giving us this outstanding series.  l will begin book 26 tomorrow!",The Amazon Quest was my latest favorite of the House of Winslow series.
27,"I was expecting more based upon the description and the other reviews I read.  Having traveled to China a number of times on business I found many of the ""insights"" offered by the narrator to be rather obvious, e.g. heavy pollution in Beijing.  As an avid tennis player, I enjoyed the portions that revolved around the tennis training, but those also seemed fairly superficial and truncated.  All in all, intriguing and lots of potential, but not quite what I would call engrossing.","A decent effort and interesting take on modern China, but hardly engrossing"
28,"Be prepared to have your heart broken.
Into tiny little pieces.
then slowly glued back together.

then, just when the world is back together.
a new love is in your life and the future is assured.

Something that you could not prepare for,
something that is impossible to happen.
it happens anyway.

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Rising-from-the-Ashes/dp/B01B69TXXI/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Rising from the Ashes</a>",Just when you thought that the world was perfect. It blows apart.
29,"Unique and entertaining way to teach math.  When I started to preview the first couple of books I highly questioned whether LOF would actually teach math, but by the time I had finished several books I realized how brilliant Stan Schmidt is in his approach.  As long as the kids do the activities suggested in the books and slow down to ensure they have memorized the math facts (addition and multiplication tables) and actually do the My Turn to Play sections before looking at the answers, as the author suggests, they will learn!",but by the time I had finished several books I realized how brilliant Stan Schmidt is in his approach
30,"I loved the voice of Mary, coming through as a loving mother who can't really understand what is happening to her son, but also who is wiser about the world than most.  Shorter than I expected, The Testament of Mary presents a very different perspective on the crucifixion.  I would categorise myself as a non-believer who is open to being convinced, so I did not know whether this book would appeal to me.  It definitely did!",The Testament of Mary presents a very different perspective on the crucifixion.
31,This Kodak publication measures up to the professional standards which are characteristic of most Kodak publications devoted to photography.  This is a concise in-depth technical overview of digital photography concepts pertaining not only to the equipment but also to the application of the nuances of photography in general to the new digital technology.  Plenty of useful and immediately applicable information for both the new amateur photographer as well as the seasoned professional.  A book that deserves a prominent place in every photographer's library.,In depth overview for amateurs and professionals -- excellent!
32,"All of Jussi Adler Olsen's books are a good read. His characters are delightfully developed and diverse. The plots of each of the stories are well laid out and resolution is usually left till the last pages. If you enjoy a light but engaging read, try any of Adler's books but start at book one if you can, to get a good feel of who the characters are and how they become the substance of each tale.",All of Jussi Adler Olsen's books are a good read. His characters are delightfully developed and diverse
33,"One of the best series I've read in a long time. Kept me at the edge of my seat that I felt a bit upset when I found out I reached the end of the story.
I love all the characters, love the setting and love the ideas presented in the story. The events unfolding hold a lot of twists and turns keeping me want to know what happens next. And finally as a gamer, this presents my dream game/world coming true. I cannot wait to start reading the third book. This is brilliant. Highly recommend it.",Wait ... I reached the end?! No! - This is Brilliant. Highly recommend it!!
34,"This was a very good book.  The Main Characters were well developed and very mature.  They do not suffer from the silliness and one dimensional characterizations that often plague NA romance.  Lucy was adorable and Jensen was her perfect foil.  It is so refreshing to have a complete, believable, enjoyable story with a really good HEA.  No cliffhanger - thank goodness!!","Really good story, terrific characters, and no cliffhanger!!!"
35,"Excellent book! Not your typical ""Self-help"" book. Actually just the opposite.
Doesn't suggest someone go back and dig up all the junk from their past.
Handle it as it is recalled and move forward. And gives resources for people
to see the proper type of counselor do this type of work.
I kindled and then bought copy for myself. And one for friend, not sure the
friend was ready for it.....but it will help you move forward IF YOU WANT TOO!",A Book With Extremely Helpful Information--Not the same old stuff!
36,"What I love about this book is that, as in all of the best science fiction, the stories are a reflection or an illumination of how we humans think of ourselves on our planet in our galaxy in the universe. Until we actually meet up with other ""beings"" in our universe, we won't know how we will react. Clarke's mastery of prose maintains the mystery and allure of an unknown ""Planet"" created by unknown beings.  So much fun to read!",Clarke is a brilliant writer--as thought-provoking today as when it was written
37,"A story EVERY child should read. I've read many biographies of George Washington Carver, but this is my all time favorite! It teaches there are no circumstances that can limit your life if you are determined. THIS IS A POWERFUL read! I read it every year to my 4th graders. Not only does it cover history but a valuable life lesson that even as an adult I will never forget.",2nd-4th Grade Teachers-A Must Have for Your Classroom Library
38,To the other parents that think like me I am outraged I wasn't aware of the things that are in this book and my daughter read a few pages and told me what was in the book and some of the things that are being said it will go straight in the trash. She is only 8 even if she was 12 I wouldnt let her  read it what lesson is my child learning from this rubbish. It is just putting things in her head and opening her up to other things and she has a sister that is 3 I don't want outsiders raising my children No thank you.,",Most definetely not appropriate and my child won't be reading this trash."
39,"Didn't bother to read it - print too small, lay out too crowded, not conducive to reading.  As such my
relationship will have to go on as it has for the last 52 years - sometimes good, sometimes fabulous,
sometimes horrible, sometimes toxic.  Like most relationships lasting this long.  Maybe I should
write a book!  :)","As such my relationship will have to go on as it has for the last 52 years - sometimes good, sometimes fabulous"
40,This is an epic adventure story that feels a bit like Grizzly Adams in The Lost World. The relationship between a typical mountain man uncle and his nerdy nephew is the focus of the story within a fantastical world. The author builds a colonial style world complete with its own legends and lore. Very well written and a must read for anyone who loves both Westerns and Fantasy.,This could be the first book of a new genre... Western-Fantasy..
41,"A brief warning to busy and smart people: the book contains some interesting insights and pieces of valuable advice. But, in the tradition of most self-help books, its worthwhile points could be communicated in a book 70 to 80 percent shorter. It is just unbelievably tedious with runaway background information and stories. It contains so much superfluous material that it is actually painful to listen to. And the good points get buried and forgotten in a flood of words. I normally prefer unabridged versions of books but this one begs for a most severe abridgement.",The book's good points get buried and forgotten in an epic flood of words
42,"I checked Blade Bound, book 13 of the ChicagoLand Vampires series, out from my local library. This was obviously a wrap-up book for a long-running series. Neill is a great writer with excellent characters, but there was so much of this book dedicated to the wedding, rather than action and drama, which is a hallmark of the ChicagoLand books.

 A very satisfying ending, and worth reading, although not my favorite book. There was a great teaser for a new book (probably a series) that I will look forward to reading when it comes out.","Blade Bound, lacks the usual tension, but wraps up loose ends"
43,"Based on the reviews I read before I purchased this book, I thought I was really going to find it helpful. However, about 1/3 of the way through, I finally gave myself permission to stop reading it. I just was not getting enough out of it. I did not write a single note to myself about what I read. Self-Compassion by Kristin Neff remains the best book I have read on this topic to date, but I do have another book that I'm hoping will engage me and assist in my growth as well.",Self-Compassion by Kristin Neff remains the best book I have read on this topic to date
44,"Hands down one of the best books I have read in the past ten years.  This brought me to weeping multiple times and has lessons and truths that have stretched my faith in just reading it alone.  I'm so sad to be done with the book that I'm considering picking it back up and starting it over again.

I give thanks in my prayers now for Debbie Hall and the legacy of her story in this book.",I want to read this over and over again.  Faith and heart changing.
45,"I enjoy browsing through it every evening!  It has prompted me to write a few  personal quotes!  I find the Bartlett quotes give one a quick glimpse of life, and words that can stick through any season!  (It also requires a good dose of physical poweress, along with the mental, as it is a rather heavy book!)","IT'S LARGE AND JUICY!  PAIR UP WITH BARTLETT, YOU'LL BE GLAD YOU DID!"
46,"I happened upon this book by accident and it is the HAPPIEST accident I ever encountered.
I was hired to do one hour of stand up at a charity fund raiser.  I was flown out to NYC to entertain over 400 people.
I was petrified.
Thanks to Greg's well organized and well thought out book I was able to create a one hour set and I KILLED!
The organization even gave me a hefty cash tip because the organizers laughed so hard.

I could not have done this without reading Greg Deans book- buy it, read it and get to work using his format.
 It is a purchase you will never regret.",... upon this book by accident and it is the HAPPIEST accident I ever encountered
47,"Couldn't put it down. Didn't want it to end. I laughed. I cried. Love Melinda and her friends. Love Hobo, and Annie, and Pansy, and Sunny and Stormy. And all the citizens of Prosper. The small town camaraderie that Melanie makes so real. As well as the edge-of-your-seat fear as a tornado tears through the town and countryside. All is so very real, and I can't wait to read Harvest Season. I feel like I have made friends with all these wonderful people. Thank you, Melanie. Please make this a LONG series!",As Comfortable and Cozy as a Warm Blanket On a Freezing Iowa Night.
48,"I loved this book and I immediately wanted to see the movie. I laughed out loud all the way through the book, but I also wondered why they couldn't put up the snowman and outside lights since they wanting leaving for their cruise until Christmas Day. I know that was what the book was all about, how their skipping all their usual plans affected everyone else, but it did make me think.","Jingle bells jingle bells, laughing all the way, oh what fun to read this book, it really made my day."
49,"I can't say I love the series, but it is very good reading, indeed.  Ian Patrick populates his works with discrete, interesting and believable good guys, bad guys and incidental characters, while delineating the issues of crime, community, ethics and social change.  Not an easy read (therefore four stars instead of five), but time well-spent, especially if one has an interest in South Africa and its socio-political climate.","Violent, Lyrical Examination of Post-Apartheid South Africa and Crime"
50,"It was well written.  While Tom Clancy is no longer living, the replacement author, Grant Blackwood, has done a great job of making the story as seamless as possible.  Jack Ryan Jr. is the same as he has been in the prior books.  Blackwood has a great understanding of Clancy's style and has done a great job maintaining the over all feeling of the story and charactors.",Gramd Blackwood does a great job keeping Tom Clancy's Jack Ryan Jr. at work as usual
51,"Purchased in the kickstarter campaign, as a premium received 5 shades of brown crayon! Suggest tan for the Gander Snitch character found with in the coloring book. Gives it an interesting dimension but isn't necessary to enjoy the coloring experience (brown alone is good too).  The read is witty and the illustrators comment/ accredited intellect is humorous also. Look for more from this author!",Gives it an interesting dimension but isn't necessary to enjoy the coloring experience (brown alone is good too)
52,"This book is truly a guide to living a fulfilled life.  This book contains timeless principles and will never be outdated.  I first checked out a copy of this book at the local library to see if it lived up to the hype.  I loved the book so much that I ended up buying it along with the new edition (which I highly recommend, also).  The whole premise of this book is to change your self image of yourself and there are numerous exercises to do this.  You can apply these principles in your personal life as well as your business life.",Everybody who wants to improve themselves should start with this book!
53,"Recognize that I love meat.  Meat makes my veggies taste soooo much better.  That said, my wife wants to eat vegan as much as possible so I have made efforts to learn some vegan skills.  I have only cooked a couple of the recipes in this book, but those I cooked were good.  A side of shrimp, chicken, or other meat would have been wonderful, but my wife liked it and so did I so it's all good.  I will copy and paste this review for the other vegan cook books I've bought because it applies to them as well.",The meat of the review is that there isn't supposed to be any meat
54,"I totally enjoyed IVY and loved the weaving of the others in the Late Bloomers Series.  This was fun and I think that the writing style is just right. She is descriptive and paints a great picture without so much detail that you get bogged down.  I think the writing is smart and very contemporary.  Once again, when I started a Besty Talbot book I was unable to put it down. These characters become people that you can really relate with and understand.  This one was the best so far and I can't wait to read about Lilly!  Fun escape with some really hot steamy scenes in there too!
Go get it!",The best so far - Loved this one and loved the writing style.
55,"Ken Wilber possesses an gift for integrative thinking that is unmatched in modern times.  This book is his magnum opus.  He brings together an astounding array of philosophy, science, psychology, and spirituality in a way that makes a great deal of sense and can be profoundly useful.  This is a remarkable book, and worth reading if you are philosophically inclined.",A book by one of the greatest integrative thinkers in history
56,"Based on the way the world is heading today, more people should read this book. Be aware - Hayek is a very intelligent man and his mastery of the English language amazing. He goes to enormous effort to ensure his message is crystal clear so readers must be patient. For me, he has really opened to my eyes to the side of mankind that could destroy the species, but that said, I believe, that while the future will be up and down, humans will survive after they have learnt the lessons which current times demonstrate they must.",Essential reading if you are unsure of what socialism really intends for all of us.
57,"After I finished reading the engaging and beautiful story of ""Take Me With You"" ( my first book by this author), I was so impressed with her talent that I immediately looked for another book of hers. ""When I Found You"" was another winner by Ms. Hyde in my growing list. A truly heartwarming story about love, devotion, sacrifices, commitment and a paying forward theme that will uplift you and makes you believe that human kindness is present in all our lives no matter how it's delivered. I highly recommend this book to everyone. ","Inspiring and engrossing ""can't put it down"" book... 5 Fabulous stars!"
58,"THE WRIGHT BROTHERS is one of the best American biographies written.  McCullough provides the reader with an objective view of the personalities that made early flight possible.  The tenacity, confidence, and bravery displayed by the two brothers was truly amazing.  Their fame celebrity, and set-backs never caused them to be distracted.  Reading this biography was time well spent and could be thought of as a lesson for success.",THE WRIGHT BROTHERS is one of the best American biographies written
59,"Required purchase for online course, which I hated. I love meditation but the course goes WAY too fast and requires WAY more time than anyone but a very advanced meditator would be able to handle in my opinion. You are better off finding free talks and using free guided meditations for this style of meditation.",You are better off just sticking with free online info re this style of meditation.
60,"I absolutely LOVE Emily Giffin and everything she's written... so with that disclaimer, First Comes Love wasn't her best.  Although still a very good book, I couldn't relate to the characters and story lines as much as I have with her past books.  Something was missing in this one for me.  I still read the book in a day, and the writing was very well done in classic Emily Giffin fashion. I'd recommend it!",Emily Giffin is one of the best - but this book was not her best!
61,"Mr. Cohen is one of our better writers with an impressive intellectual mind. This is a great book detailing the struggle of the dislocation of the immigrant.....a problem of greater import today, than at any other time. His family represents the heartbreak and triumphs of countless millions leaving the familiar for a frightening unknown. Do read it.",Cohen is one of our better writers with an impressive intellectual mind
62,"Absolutely hilarious essays recounting Tina Fey's lifetime trials and tribulations. I love Tina Fey's humor and her voice really comes out in these essays. They start from her childhood and aren't ALL about SNL, so even if you aren't an SNL fan, you can still appreciate the life experiences she shares in this book. It's not all about making you laugh, I found myself being able to get some advice and feel better about things going on in my life through her recounted tales of yore. It's a quick read, definitely worth getting if you could use a mood booster.","Hilarious, entertaining, will put a smile on your face as well as teach you a few life lessons"
63,"Super fast paced, lots of action and two interesting and likeable characters.
A girl raised to be a dragon slayer and looking up to her dad who is the top hunter. Her first hunt went wrong and she fell of a cliff and is saved by the same dragon she was supposed to kill.
Trying to get the dragons souls back and finding out she has been living a life and being betrayed by her dad.
I voluntarily reviewed this ARC book.","Dragon shifters, humans, lies and trying to right a wrong.  4.8 "
64,"I learned from my biological sister in 2005 that I am part Jewish. Her hobby was genealogy.  This was exciting to me.  ""Righteous Among the Nations: Rescuers of Jews during the Holocaust"" was and is very meaningful to me because I have an ancestor that was in the Holocaust.  My 2nd visit to Yad Vashem last March was emotional due to the fact that I did not know about my Jewish heritage the first time I went to Israel in 1991.  Le Chaim!",The Righteous Among the Nations: Rescuers of Jews during the Holocaust
65,Much of the action and imagery is presented as perception with the lead character as an unreliable narrator given the subjective nature of his experience. There is also a large dollop of religious allegory which leaves me wondering why I got invested in Socket as a person. Unsatisfying in the same way as Spielberg's AI. A cosmic but personal journey that isn't fully either.,not a bad yarn but repetitive and strangely both over simplistic in theme and overly complex in plot
66,"I just finished this excellent little book and highly recommend it to any Christian in ministry. So, so good. Solid biblical truths to combat the lies we slip into believing about ourselves and our work. This would be a great book to read and then gift to someone you know in full-time church or mission work.","Wise, biblical counsel. Read this book early in your ministry career!"
67,"I'm debating whether to give it one or two stars.  It's very well written for its genre.  But it's not a complete book.  I know it's titled part 1, but I reasonably inferred that this was a trilogy of independent intertwined stories. Anyone who is at all invested in the story would be forced to buy the next book.  Part 2 may require purchase of book 3, then 4.  So offering book 1 free is no bargain; it's a manipulation.  This seems to be the trend now.  So my low rating is entirely a reflection of the publisher's manipulative tactics. I hope they're reading this.",Not a complete book.. Stops just where something pivotal is about to happen.
68,"I always  look forward to her books and I have never yet been disappointed. They entertain me. They make me think. They push me in how I respond to others and to God. I often learn things as well. This book is no exception. You can totally enjoy this book without having read previous books, but they add richness to the other characters in the story.  There are some loose ends and suspenseful elements that are not tied up at the end of the book, but you still finish it feeling the ending was satisfactory.",... to her books and I have never yet been disappointed. They entertain me
69,This gave me a lot to think about with my volunteer work and in my home.  I am a stay at home mom and I realized that sometimes I get down feeling like I am not making a difference.  When I started measuring things I could control/influence it helped me to see the progress I was already making and how to focus to make more!  Home is much happier now.,I am a stay at home mom and I realized that sometimes I get down feeling like I am not making a difference
70,I have to tell you that this author is as good as anyone at character development.  She has created characters that you care about what happens to them.  I love all her books and have told everyone I know about them.  This latest book is her best in my opinion. SPOILER ALERT:  The way she handled the ending of this book just tore at my heart strings and you feel that you really know these people.  I think this author is among the best and I wish her all the success in the world.,... have to tell you that this author is as good as anyone at character development
71,"This is one of the best Kindle-First advance reads I've gotten.  Excellent pacing; as facts were revealed and events unfolded, it had me guessing at which were the good guys vs the bad guys and changing my mind at least twice.  A two-night read, just didn't want to put it down.  A great introduction (for me) to this author - will have to go check out some of his others now too.",This is one of the best Kindle-First advance reads I've gotten
72,"This was a well-written, suspenseful and easy read that really gave the reader a sense of what it must have been like to have served in the Triangle of Death in Iraq. The only thing I didn't like was some of the characterizations of political leaders or civilians who did not support the war. Readers could have made their own opinion about the war without the political diatribes.","easy read, well-written, suspenseful - gave a good sense of what it must have been like to be there"
73,"Woke up at 4 and reached for WL because I had to finish before I can start my day. My husband is sleeping soundly next to me which is a miracle with all the silent sobbing going on. Do you have any idea how difficult it is to sob noiselessly?? I'm exhausted, and not because it's only 5:20am. Again ,Julie A Huss, you have reached into my chest, grabbed my heart, and squeezed it. Thank you for thoroughly entertaining me.",Wasted Lust...waste no more moments away from this wonderful read!
74,"Here we are where it all began..back when Three Rivers Ranch is just being taken over by Frank.  And Heidi was in Three Rivers just for the summer before returning to San Francisco to complete baking school to become a pastry chef and then start her own bakery. But when Frank and Heidi meet,  Frank is instantly smitten and hires her for the summer to clean cabins. And so begins the romance of the first family of Three Rivers Ranch and how Heidi became it's first lady and discovered some dreams can be postponed for even better ones and how a little faith can be rewarded many times over.",Three River's Ranch is a wonderful series.  Each book well written and draws you right in!
75,"This last installment of the Sandy Cove series was possibly my favorite of the 3 books. So many twists and turns, so much compassion, empathy, unconditional love and understanding. I think it is safe to say my hopes are that Ms. Hines would consider continuing to write about the Baron family and their journey.","Undeniably, an incredible ending to the series (hopefully for now)"
76,"This is my first book by this author and I really enjoyed her writing. So much so that I just downloaded the book Trust Your Vibes. At first I thought she might be going a little crazy explaining the many types of guides we all have, but while reading the book I actually called on a few she explained and it did seem to work. Always be thankful for their guidance. I would definitely recommend this book as an excellent resource on your spiritual journey.",... my first book by this author and I really enjoyed her writing
77,"I don't know how I could possibly elaborate on this wonderful tale.  It is a well known classic, that I had never really read, but had seen numerous movies of.  That is why I finally chose to read it, to see how close the movie matched the writing.  I was not disappointed.  I would recommend this to anyone who likes Dickens.",... don't know how I could possibly elaborate on this wonderful tale. It is a well known classic
78,"All the Berenstain Bears books are amazing, of course - but this one is fantastic. When my daughter started having a hard time with bad dreams I bought this book and it helped her. She knew she wasn't the only one that has bad dreams, and it helped me put into words what I meant to tell her - that it isn't real, and it's all in our minds. If your child is having bad dreams...or if they love Berenstain Bears...this is the book for you.","All the Berenstain Bears books are amazing, of course - but this one is fantastic"
79,"Well .. one of the very few times I have actually tossed away a book after only reading about 1/3 of it .... I have been a Kelsey Cole fan for a long time ... but I actually don't recognize her style, characterizations, or plot lines in this really sad effort.  If I had a fireplace .. at least I could used it as kindling.  Bottom line ... if you are considering buying this book ... please don't waste your money.  Now I am beginning to wonder if I should buy any more Cole efforts.  I really hope this was an aberration ..  but I will closely read reviews of any more books in the IMAD series.",Don't buy if you are a Kelsey Cole fan.. your heart will be broken
